id	taxonID	acceptedNameUsageID	scientificName	kingdom	class	order	family	genus	subgenus	specificEpithet	taxonRank	scientificNameAuthorship	taxonomicStatus	taxonRemarks	modified	language	informationWithheld	references
5414	5414		Anarsia lineatella Zeller, 1839	Animalia	Insecta	Lepidoptera		Anarsia		lineatella	species	Zeller, 1839	accepted	In the past it was assumed that it was only one species, but since the publication of Keld Gregersen and Ole Karsholt in Nota Lepidopterologica 40(1):65–85, <a href=https://nl.pensoft.net/article/11184/target="_blank">Taxonomic confusion around the Peach Twig Borer, Anarsia lineatella Zeller, 1839, with description of a new species (Lepidoptera, Gelechiidae)</a>  ,  we know that there are 2 species involved.<br>So far known, there are no confirmed observations after 1980.	2021-03-06	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5414
3963	3963		Hypatima rhomboidella (Linnaeus, 1758)	Animalia	Insecta	Lepidoptera		Hypatima		rhomboidella	species	(Linnaeus, 1758)	accepted	A widespread and fairly common species in Belgium.	2021-03-06	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/3963
7051	7051	3963	Hypatima conscriptella (Hübner, 1805)	Animalia	Insecta	Lepidoptera		Hypatima		conscriptella	species	(Hübner, 1805)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7051
7598	7598	3963	Hypatima huebnerella (Donovan, 1806)	Animalia	Insecta	Lepidoptera		Hypatima		huebnerella	species	(Donovan, 1806)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7598
5258	5258		Acompsia tripunctella (Denis & Schiffermüller, 1775)	Animalia	Insecta	Lepidoptera		Acompsia	Acompsia	tripunctella	species	(Denis & Schiffermüller, 1775)	accepted	Although this is an easily recognizable species in the genus, it has not been reported from Belgium for a long time. Probably extinct.	2021-03-08	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5258
6523	6523	5257	Acompsia durdhamellus (Stainton, 1849)	Animalia	Insecta	Lepidoptera		Acompsia	Telephila	durdhamellus	species	(Stainton, 1849)	synonym		2020-03-25	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6523
7481	7481	5257	Acompsia quadrinella (Herrich-Schäffer, 1854)	Animalia	Insecta	Lepidoptera		Acompsia	Telephila	quadrinella	species	(Herrich-Schäffer, 1854)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/7481
6645	6645	5622	Brachmia gerronella (Zeller, 1850)	Animalia	Insecta	Lepidoptera		Brachmia		gerronella	species	(Zeller, 1850)	synonym		2019-04-23	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6645
6818	6818	6054	Dichomeris deflectivellus (Reutti, 1853)	Animalia	Insecta	Lepidoptera		Dichomeris		deflectivellus	species	(Reutti, 1853)	synonym		2020-03-25	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/6818
5257	5257		Acompsia schmidtiellus (Heyden, 1848)	Animalia	Insecta	Lepidoptera		Acompsia	Telephila	schmidtiellus	species	(Heyden, 1848)	accepted	A very rare species, mainly known from the southern part of Belgium.	2021-03-08	en	Host plant / substrate data / life stage details / ... are also available, see https://projects.biodiversity.be/lepidotera	https://projects.biodiversity.be/lepidoptera/species/5257
